brand,model,year,adid
Volkswagen,Passat,2017,196501401
Mitsubishi,Lancer,2000,196501550
Kia,Cerato,2011,196501128
Chevrolet,Cruze,2016,196501409
Ford,Mustang,2017,196501578
Porsche,Boxster,2016,196501620
Porsche,Cayman,2014,196501660
Hyundai,Accent,2008,196501786
Porsche,Carrera,2008,196501759
Mitsubishi,Lancer,2007,196502173
Renault,Fluence,2011,196502712
Nissan,Sunny,2023,196418479
Mercedes-Benz,Maybach,2015,196368337
Toyota,Corolla,2021,196503110
Kia,Cerato,2018,196499546
Mercedes-Benz,S500,2014,196066472
Daewoo,Nubira,2004,196499175
Fiat,Siena,2000,196498723
Jaguar,F-Pace,2019,196502949
MG,MG 5,2022,196499680
Hyundai,Accent,2017,196498201
Ssang Yong,Tivoli XLV,2020,196498412
Peugeot,3008,2019,196498458
Chevrolet,Cruze,2016,196503141
Kia,Rio,2015,196497505
Jeep,Cherokee,2012,196497038
BYD,L3,2016,196496704
Jeep,Cherokee,2011,196497447
Baic,X3,2022,196497271
Mercedes-Benz,GL-Class,2013,196501847
Subaru,Impreza,2010,196497956
BMW,340,2018,194187399
Kia,Cerato,2018,196497372
Proton,Gen-2,2014,196491113
Nissan,Sunny,2021,196409984
Chevrolet,Cruze,2016,196479688
Hyundai,Getz,2011,196497908
Renault,Logan,2016,196498151
Speranza,Envy,2018,196498797
Hyundai,Grand I10,2015,196498593
Kia,Sportage,2020,196498905
Skoda,Octavia,2015,196412070
Jaguar,E-Pace,2018,196413236
Mercedes-Benz,E200,2018,196499183
Seat,Ibiza,2019,196498715
BYD,L3,2016,196498701
Mercedes-Benz,E180,2019,196499364
Classic,Classic,2021,196491057
BMW,X6,2010,196499519
Subaru,Legacy,2010,196499800
Seat,Ibiza,2021,196499951
Mercedes-Benz,G-Class,2018,196413662
Speranza,Tiggo,2021,195989422
Mercedes-Benz,E300,2021,196496996
Mercedes-Benz,C250,2011,196494323
Mercedes-Benz,E200,2021,196500021
Peugeot,508,2016,196402215
Nissan,Sunny,2019,196499875
Renault,Logan,2014,196492865
Hyundai,Elantra,2019,196492545
BMW,X3,2012,196402530
Kia,Sportage,2017,196493010
Hyundai,Creta,2016,196493079
MG,MG 5,2020,196493009
Jeep,Grand Cherokee,2016,196493652
Hyundai,Verna,2010,196491573
Mitsubishi,Lancer,2015,196406150
Kia,Cerato,2016,196406537
BYD,F3,2018,196494658
Skoda,Octavia,2021,196492793
Hyundai,Elantra,2018,196494671
Jeep,Wrangler,2012,196401483
Hyundai,Accent,2019,196494413
Jeep,Renegade,2017,196494824
Hyundai,Santa Fe,2013,196489542
Daihatsu,Terios,2007,196495421
Subaru,Impreza,2009,196495431
Hyundai,Elantra,2016,196188192
Kia,Ceed,2019,196491658
Suzuki,Ciaz,2022,196484977
Fiat,Tipo,2022,196397454
Renault,Logan,2022,196488431
Opel,Astra,2016,196489020
Mercedes-Benz,C250,2011,196488972
Toyota,Corolla,2020,196489274
Mercedes-Benz,A180,2021,196330940
MG,ZS,2022,196344844
Nissan,Sunny,2020,196489467
Alfa Romeo,Giulietta,2020,196489403
Chevrolet,Captiva,2021,196488399
Renault,Logan,2016,196489389
Nissan,Sunny,2021,196489540
Renault,Megane,2020,196489482
BMW,X2,2019,196489545
MG,MG 5,2021,196485305
Ford,Kuga,2018,196485323
Renault,Logan,2010,196483210
Mercedes-Benz,E350,2018,196484005
Hyundai,Verna,2015,196485925
Opel,Astra,2015,196485394
BMW,320,2015,195996251
Hyundai,Accent,2015,196485521
Renault,Sandero,2017,196485861
Ssang Yong,Tivoli XLV,2019,196486142
Toyota,Corolla,2007,196486081
Nissan,Juke,2021,195910772
Volkswagen,Jetta,2010,196485967
Mercedes-Benz,C180,2022,196486295
Hyundai,Elantra,2017,196486307
Nissan,Sentra,2021,196486509
Nissan,Qashqai,2016,196486542
Kia,Xceed,2022,196120753
Jeep,Cherokee,2015,196177476
Peugeot,3008,2013,196486825
Mercedes-Benz,C180,2010,196278704
BMW,X1,2020,196486329
Audi,A4,2009,196481565
Toyota,Corolla,2009,196486890
Mitsubishi,Lancer,2008,196479535
BMW,520,2018,196484450
Kia,Pride,2000,196479829
Mitsubishi,Lancer,2016,196480290
Mitsubishi,Lancer,2015,196480260
BMW,X3,2016,195963926
BMW,320,2014,196479713
Toyota,Yaris,2007,196386492
Nissan,Sunny,2018,196407690
Proton,Gen-2,2010,196482229
Honda,Accord,2019,196479044
Volkswagen,Golf,2004,196482207
Opel,Grandland,2021,196483022
Mercedes-Benz,C250,2010,196482990
Fiat,Tipo,2022,196482968
Skoda,Octavia,2021,196483122
Volvo,V 60,2021,196483087
Changan,Benni mini,2016,196312643
Hyundai,Tucson,2019,196483399
Hyundai,IX35,2016,196483259
Seat,Ibiza,2020,196483190
Peugeot,2008,2021,193865913
Hyundai,H1,2017,196225856
Citroen,C-Elysée,2019,196479882
Dodge,Dart,2013,196483633
MINI,John Cooper Works,2020,196483827
Kia,Rio,2001,196478706
BYD,F3,2020,196480639
Opel,Corsa,2013,196484363
Mercedes-Benz,C200,2019,196390853
Renault,Megane,2018,196484802
BYD,F3,2018,196484232
Renault,Captur,2017,196482031
Geely,Pandido,2015,196475781
Renault,Fluence,2016,196475514
BMW,523,2007,196478419
BMW,318,2018,196475759
BMW,320,2015,196476161
Mercedes-Benz,CLA 180,2017,196476350
Geely,Emgrand 7,2015,196475786
Jaguar,XF,2014,196476164
Fiat,Tipo,2021,196476108
Chevrolet,Aveo,2012,196475116
Nissan,Sunny,2017,196476012
Mercedes-Benz,E350,2019,196359216
Nissan,Sunny,2012,196465372
Hyundai,Matrix,2008,196476707
Chery,Tiggo,2017,196476861
Renault,Kadjar,2017,193299553
BMW,X5,2017,196022543
Fiat,Punto,2008,196477374
Kia,Cerato,2017,196382346
Land Rover,Range Rover Vogue,2013,196477602
Skoda,Octavia,2008,196477510
BMW,340,2019,196477577
Kia,Sportage,2022,196474497
Kia,Cerato,2015,196477987
Chevrolet,N300,2021,196470866
Hyundai,Accent,2010,196477838
Senova,X35,2018,195990818
Mitsubishi,Lancer,2007,196470441
Land Rover,Range Rover Vogue,2020,196471140
Nissan,Sunny,2022,196373883
Dodge,Dart,2013,196397257
Kia,Xceed,2022,196471479
Kia,Ceed,2017,196471662
Skoda,Kodiaq,2022,196396335
Honda,City,2008,196471966
Hyundai,Verna,2013,196465900
MINI,Cooper,2016,196375610
Hyundai,Accent,2008,196472793
Volkswagen,Passat,2017,196376015
Toyota,Corolla,2020,196471401
Jeep,Wrangler,2010,196470770
Renault,Megane,2021,196376653
Ford,Fusion,2021,196376620
Nissan,Sunny,2020,196473195
Porsche,Macan,2022,196473374
Skoda,Octavia,2021,195453615
Nissan,Qashqai,2017,196473207
Hyundai,Matrix,2003,196473472
Kia,Carens,2012,196465001
Chevrolet,Lanos,2009,196473992
Toyota,Corolla,2020,196472529
Kia,Picanto,2017,196469155
Opel,Grandland,2018,196474572
Renault,Megane,2018,196430391
Nissan,Sunny,2022,196463387
Kia,Sportage,2019,196463454
Hyundai,Elantra,2017,196463450
Fiat,Tipo,2021,196364463
Mercedes-Benz,E350,2020,196463691
Volkswagen,Passat,2006,196463730
Porsche,Boxster,2010,196464235
Renault,Logan,2020,196464492
Toyota,Yaris,2015,196465415
MINI,Cooper s,2008,196473081
Kia,Cerato,2014,196465590
Ford,Focus,2018,196466568
MG,MG 5,2022,196397083
Mercedes-Benz,Other,2022,196365417
Kia,Rio,2015,196277092
Lada,2107,2008,196336110
Ford,Focus,2017,196126482
Nissan,Sunny,2020,196467260
Kia,Sportage,2021,196467397
Mazda,3,2010,196467844
Chery,Arrizo 5,2022,196460477
Kia,Rio,2012,196443640
Fiat,Shahin,2001,196455081
BMW,523,2011,196361528
Jeep,Renegade,2018,196361631
Haval,Jolion,2022,196457599
Opel,Astra,2017,196459722
Peugeot,301,2015,196460017
Peugeot,508,2017,196104669
Kia,Cerato,2015,196459941
Nissan,Juke,2021,196448624
Land Rover,Range Rover Sport,2020,196460148
Mercedes-Benz,C200,2001,196460287
Land Rover,Velar,2020,196359648
Mercedes-Benz,E300,2021,196363204
Hyundai,Matrix,2008,196460595
Nissan,Qashqai,2018,196460820
Skoda,Octavia,2020,196461042
Hyundai,Creta,2021,196461035
Toyota,Fortuner,2023,196461048
Mitsubishi,Pajero,2010,196461058
Daihatsu,Gran Max,2014,196460723
BMW,X6,2019,196461087
Chery,Arrizo 5,2020,196461173
BMW,118,2021,196461300
Mitsubishi,Lancer,2018,196461136
Mercedes-Benz,C180,2017,196459678
BMW,X3,2008,196459076
Fiat,500X,2020,196455498
Jeep,Cherokee,2013,196459069
Renault,Duster,2018,196252151
Ford,Focus,2008,196454966
Kia,Rio,2015,196455636
Kia,Cerato,2022,196456151
Citroen,C3,2004,196455695
Kia,Cerato,2020,196456077
Toyota,Corolla,2019,196456424
Porsche,Carrera,2021,193995137
Toyota,Corolla,2021,196456456
Mercedes-Benz,C180,2018,196455907
Ford,Focus,2014,196456680
Toyota,Yaris,2021,196262660
Nissan,Sunny,2023,195484323
Speranza,A113,2013,196454920
Volkswagen,Passat,2011,196456907
Hyundai,Verna,2013,196457009
Lamborghini,Other,2022,196457079
Skoda,Superb,2021,196456934
Peugeot,3008,2021,196457191
Hyundai,Getz,2011,196433037
Nissan,Qashqai,2018,196458727
Chevrolet,Lanos,2018,196431189
Nissan,Qashqai,2014,196455841
Ford,Focus,2021,196458579
Nissan,Sunny,2013,196457370
Skoda,Kodiaq,2021,196458755
Nissan,Qashqai,2016,196446967
Speranza,A516,2011,196447029
MG,MG 5,2015,196455485
BYD,F3,2018,196360567
Speranza,A11,2011,196393224
BMW,320,2018,196447090
Peugeot,508,2019,196447493
Chevrolet,Camaro,2010,196446459
Hyundai,Elantra,2020,196456796
Peugeot,5008,2022,196349075
Mercedes-Benz,E200,2015,196348485
Renault,Logan,2013,196447849
Suzuki,Ciaz,2016,196449101
Toyota,Corolla,2008,196448179
Chevrolet,Optra,2020,196416842
BMW,525,2000,196444841
Toyota,Corolla,2010,196449846
Toyota,Corolla,2022,196448514
BMW,316,2015,196449513
Nissan,Sunny,2020,196354144
Subaru,XV,2021,196353546
Mercedes-Benz,GLC 300,2022,196304497
Nissan,Sunny,2022,196450102
Volkswagen,Passat,2000,196452226
